fecha,categoria,producto,precio,cantidad,region,tipo_cliente
2024-01-29,Hogar,Sartén,45.99,4,Centro,Nuevo
2024-01-13,Electrónica,Tablet,399.99,5,Sur,Recurrente
2024-01-29,Electrónica,Monitor,299.99,1,Norte,Recurrente
2024-01-28,Electrónica,Teclado,53.991,1,Norte,Premium
2024-01-26,Electrónica,Cámara Digital,404.99100000000004,4,Oeste,Premium
2024-01-16,Electrónica,Auriculares,80.991,5,Centro,Premium
2024-01-20,Electrónica,Tablet,399.99,1,Sur,Nuevo
2024-01-21,Electrónica,Smartphone,629.991,3,Norte,Premium
2024-01-06,Hogar,Batidora,39.99,4,Este,Recurrente
2024-01-26,Electrónica,Smartwatch,199.99,2,Este,Recurrente
